station_id;X;Y;ID_estacion;lat;long;wkt
UYMVD_E1;572452;6137044;Ciudad Vieja 2;-34.90645223197792;-56.20693022839831;POINT (572452 6137044)
UYMVD_E1;572796;6137122;Ciudad Vieja 3;-34.90572430081543;-56.20317187286416;POINT (572796 6137122)
UYMVD_E1;572832;6136774;Ciudad Vieja 1;-34.9088595297738;-56.20274751816247;POINT (572832 6136774)
UYMVD_E2;574385;6137072;Centro;-34.906059862190716;-56.18577570161491;POINT (574385 6137072)
UYMVD_E3;569843;6141519;La Teja 1;-34.86628501633649;-56.23586005490433;POINT (569843 6141519)
UYMVD_E3;570883;6142541;La Teja 2;-34.856997795445665;-56.22456901274647;POINT (570883 6142541)
UYMVD_E4;573289;6142937;Prado;-34.85325648958061;-56.19828524691239;POINT (573289 6142937)
UYMVD_E5;576214;6138373;Tres Cruces 2;-34.894193459152525;-56.16587579298405;POINT (576214 6138373)
UYMVD_E5;576888;6138953;Tres Cruces;-34.88891297548531;-56.15855322690893;POINT (576888 6138953)
UYMVD_E6;579230;6142255;Curva de Maronas;-34.85896008164801;-56.13323797491162;POINT (579230 6142255)
UYMVD_E7;583737;6139486;Portones de Carrasco 2;-34.88356531471534;-56.08366065979052;POINT (583737 6139486)
UYMVD_E7;583940;6139695;Portones de Carrasco;-34.881664112638134;-56.08146043910694;POINT (583940 6139695)
UYMVD_E8;570970;6149046;Colon 1;-34.79833699675198;-56.22416765249022;POINT (570970 6149046)
UYMVD_E9;574668;6139720;Goes;-34.88216290445252;-56.182914697748366;POINT (574668 6139720)
